client_id,transaction_id,feedback_text,feedback_date,client_rating,employee_id
103,958,Agent lacked detailed knowledge of the property,2024-06-03,3,44
436,563,The agent was very helpful and knowledgeable,2022-09-02,5,84
861,1900,The agent was very helpful and knowledgeable,2021-04-10,2,30
271,1591,Quick and efficient service,2023-09-29,2,62
107,1268,Quick and efficient service,2023-09-13,1,75
72,832,The agent could be more responsive,2023-10-12,4,119
701,1529,Fantastic support during the buying process,2021-07-26,1,92
21,1155,I had an excellent home buying experience,2022-02-28,4,89
615,1509,The agent was very helpful and knowledgeable,2023-02-16,2,103
122,1843,The agent was very helpful and knowledgeable,2022-11-29,1,62
467,647,Not very satisfied with the communication,2024-07-16,5,97
215,21,Quick and efficient service,2022-01-30,3,1
331,841,I had an excellent home buying experience,2022-02-26,4,27
459,167,The experience was less than satisfactory,2023-11-02,3,62
88,1298,The agent could be more responsive,2022-11-26,3,116
373,388,Fantastic support during the buying process,2024-03-22,1,77
100,601,The process was smooth and straightforward,2022-09-30,3,105
872,316,Fantastic support during the buying process,2021-02-08,5,3
664,14,Agent lacked detailed knowledge of the property,2022-11-11,3,103
131,242,The agent was very helpful and knowledgeable,2024-11-21,1,70
662,777,The agent could be more responsive,2023-11-28,5,72
309,1370,Agent lacked detailed knowledge of the property,2022-02-24,2,27
770,565,I had an excellent home buying experience,2023-03-19,3,9
344,898,The process was smooth and straightforward,2024-04-20,1,62
492,1364,Quick and efficient service,2022-10-09,2,37
414,92,The agent could be more responsive,2024-10-11,2,97
806,1391,The agent could be more responsive,2022-10-23,4,51
386,956,The agent was very helpful and knowledgeable,2022-07-23,5,106
192,1479,Very professional and attentive to my needs,2024-07-16,3,44
956,1452,The agent could be more responsive,2023-03-03,1,24
277,509,Not very satisfied with the communication,2023-01-17,4,79
161,776,The process was smooth and straightforward,2023-11-08,5,59
460,1967,The process was smooth and straightforward,2022-03-25,4,118
314,35,Not very satisfied with the communication,2022-08-23,5,32
22,206,The experience was less than satisfactory,2023-02-17,5,96
253,1105,Not very satisfied with the communication,2023-06-21,3,88
748,1956,Not very satisfied with the communication,2023-05-03,5,105
857,1586,The process was smooth and straightforward,2024-01-11,4,52
561,1896,Fantastic support during the buying process,2023-09-16,5,113
475,1412,The process was smooth and straightforward,2022-07-12,3,62
59,1026,Very professional and attentive to my needs,2022-09-01,3,113
511,1022,The agent was very helpful and knowledgeable,2021-10-02,4,58
682,1414,Agent lacked detailed knowledge of the property,2022-12-01,2,52
476,566,Fantastic support during the buying process,2021-05-28,2,12
700,1130,Quick and efficient service,2022-07-18,5,39
976,1796,Agent lacked detailed knowledge of the property,2023-08-21,1,2
783,1846,The agent was very helpful and knowledgeable,2024-03-31,5,3
190,1501,Very professional and attentive to my needs,2022-05-25,4,113
958,703,Very professional and attentive to my needs,2022-03-20,4,101
687,402,Quick and efficient service,2023-11-24,4,113
